timestamp,x_accel,y_accel,z_accel,current_A
91863.706826,0.049286,-0.459171,0.057512,1.876833
91863.717043,0.049286,-0.430431,0.033561,1.915934
91863.727029,0.049286,-0.444801,0.047931,1.876833
91863.736998,0.063656,-0.435221,0.047931,1.876833
91863.747015,0.049286,-0.454381,0.047931,1.896383
91863.757158,0.054076,-0.444801,0.057512,1.876833
91863.767455,0.030126,-0.420851,0.047931,1.896383
91863.777430,0.034916,-0.444801,0.052722,1.876833
91863.787443,0.049286,-0.435221,0.043141,1.876833
91863.797644,0.039706,-0.435221,0.047931,1.896383
91863.807540,0.063656,-0.430431,0.047931,1.857283
91863.817639,0.054076,-0.459171,0.043141,1.896383
91863.827856,0.039706,-0.444801,0.057512,1.857283
91863.837951,0.039706,-0.420851,0.052722,1.876833
91863.847882,0.030126,-0.430431,0.038351,1.876833
91863.858279,0.044496,-0.440011,0.047931,1.857283
91863.868242,0.044496,-0.435221,0.043141,1.896383
91863.878326,0.063656,-0.425641,0.043141,1.857283
91863.888346,0.049286,-0.449591,0.047931,1.896383
91863.898388,0.039706,-0.444801,0.057512,1.876833
91863.908824,0.039706,-0.430431,0.047931,1.876833
91863.918732,0.034916,-0.454381,0.047931,1.876833
91863.928672,0.044496,-0.420851,0.047931,1.857283
91863.939072,0.054076,-0.430431,0.038351,1.876833
91863.948959,0.049286,-0.425641,0.038351,1.837732
91863.959014,0.049286,-0.459171,0.057512,1.896383
91863.969055,0.058866,-0.449591,0.047931,1.837732
91863.979298,0.030126,-0.430431,0.047931,1.876833
91863.989253,0.039706,-0.444801,0.052722,1.837732
91863.999397,0.044496,-0.435221,0.047931,1.876833
91864.009579,0.039706,-0.454381,0.047931,1.857283
91864.019637,0.049286,-0.440011,0.043141,1.837732
91864.029890,0.063656,-0.449591,0.047931,1.857283
91864.039843,0.049286,-0.430431,0.043141,1.818182
91864.049792,0.030126,-0.449591,0.043141,1.857283
91864.060130,0.044496,-0.440011,0.052722,1.818182
91864.070135,0.039706,-0.449591,0.033561,1.857283
91864.080210,0.039706,-0.444801,0.047931,1.837732
91864.090255,0.063656,-0.435221,0.043141,1.857283
91864.100418,0.049286,-0.449591,0.047931,1.818182
91864.110480,0.039706,-0.430431,0.047931,1.857283
91864.120600,0.044496,-0.449591,0.057512,1.818182
91864.130704,0.030126,-0.435221,0.057512,1.857283
91864.140826,0.030126,-0.435221,0.047931,1.818182
91864.150937,0.058866,-0.435221,0.043141,1.837732
91864.161206,0.054076,-0.425641,0.043141,1.818182
91864.171024,0.049286,-0.435221,0.047931,1.837732
91864.181293,0.054076,-0.444801,0.047931,1.818182
91864.191254,0.054076,-0.440011,0.052722,1.837732
91864.201388,0.030126,-0.454381,0.047931,1.818182
91864.211351,0.034916,-0.435221,0.047931,1.837732
91864.221498,0.044496,-0.420851,0.038351,1.818182
91864.231545,0.044496,-0.440011,0.047931,1.818182
91864.241870,0.039706,-0.425641,0.038351,1.818182
91864.252071,0.073236,-0.420851,0.043141,1.818182
91864.262018,0.044496,-0.444801,0.047931,1.818182
91864.272071,0.039706,-0.449591,0.047931,1.798631
91864.282061,0.044496,-0.449591,0.047931,1.818182
91864.292194,0.039706,-0.435221,0.047931,1.798631
91864.302426,0.020546,-0.416061,0.043141,1.818182
91864.312517,0.058866,-0.430431,0.043141,1.798631
91864.322593,0.044496,-0.425641,0.043141,1.837732
91864.332681,0.049286,-0.430431,0.052722,1.798631
91864.342707,0.063656,-0.449591,0.038351,1.837732
91864.352840,0.049286,-0.444801,0.052722,1.798631
91864.362857,0.030126,-0.435221,0.057512,1.837732
91864.373137,0.044496,-0.449591,0.052722,1.818182
91864.383159,0.039706,-0.430431,0.052722,1.818182
91864.393275,0.044496,-0.444801,0.047931,1.837732
91864.403379,0.054076,-0.440011,0.047931,1.798631
91864.413482,0.054076,-0.444801,0.043141,1.837732
91864.423730,0.058866,-0.435221,0.047931,1.818182
91864.433497,0.034916,-0.435221,0.052722,1.818182
91864.443649,0.044496,-0.454381,0.052722,1.818182
91864.453971,0.030126,-0.440011,0.052722,1.818182
91864.464071,0.049286,-0.440011,0.043141,1.837732
91864.473989,0.068446,-0.435221,0.043141,1.818182
91864.484007,0.049286,-0.459171,0.047931,1.857283
91864.494292,0.054076,-0.449591,0.047931,1.837732
91864.504357,0.030126,-0.416061,0.057512,1.818182
91864.514303,0.034916,-0.444801,0.057512,1.876833
91864.524391,0.054076,-0.444801,0.043141,1.837732
91864.534540,0.039706,-0.444801,0.047931,1.837732
91864.544569,0.054076,-0.444801,0.047931,1.857283
91864.554774,0.068446,-0.440011,0.047931,1.837732
91864.564783,0.030126,-0.444801,0.052722,1.857283
91864.574867,0.034916,-0.430431,0.052722,1.876833
91864.585328,0.044496,-0.444801,0.038351,1.837732
91864.595209,0.044496,-0.430431,0.043141,1.876833
91864.605239,0.058866,-0.454381,0.043141,1.857283
91864.615355,0.058866,-0.440011,0.047931,1.857283
91864.625458,0.030126,-0.430431,0.057512,1.876833
91864.635502,0.034916,-0.449591,0.057512,1.876833
91864.645545,0.044496,-0.449591,0.033561,1.857283
91864.655654,0.039706,-0.449591,0.043141,1.896383
91864.665733,0.054076,-0.444801,0.047931,1.876833
91864.675845,0.058866,-0.425641,0.047931,1.857283
91864.685942,0.034916,-0.420851,0.047931,1.896383
91864.696062,0.034916,-0.454381,0.052722,1.896383
91864.706261,0.044496,-0.449591,0.043141,1.857283
91864.716230,0.044496,-0.430431,0.038351,1.876833
91864.726344,0.054076,-0.454381,0.047931,1.896383
91864.736433,0.054076,-0.449591,0.047931,1.896383
91864.746525,0.039706,-0.420851,0.047931,1.876833
91864.756648,0.025336,-0.416061,0.043141,1.896383
91864.766664,0.044496,-0.454381,0.043141,1.915934
91864.776899,0.054076,-0.430431,0.038351,1.876833
91864.787051,0.054076,-0.449591,0.047931,1.896383
91864.797052,0.044496,-0.454381,0.057512,1.915934
91864.807248,0.030126,-0.435221,0.047931,1.896383
91864.817513,0.039706,-0.444801,0.047931,1.876833
91864.827463,0.044496,-0.420851,0.047931,1.935484
91864.837369,0.049286,-0.449591,0.047931,1.935484
91864.847533,0.058866,-0.444801,0.047931,1.896383
91864.857759,0.049286,-0.406481,0.057512,1.915934
91864.867812,0.025336,-0.396900,0.038351,1.915934
91864.877747,0.034916,-0.435221,0.038351,1.935484
91864.888054,0.068446,-0.440011,0.047931,1.935484
91864.898141,0.068446,-0.449591,0.047931,1.915934
91864.908290,0.030126,-0.430431,0.047931,1.915934
91864.918200,0.044496,-0.463961,0.047931,1.935484
91864.928244,0.054076,-0.459171,0.038351,1.935484
91864.938418,0.044496,-0.440011,0.047931,1.915934
91864.948633,0.054076,-0.449591,0.052722,1.915934
91864.958583,0.049286,-0.435221,0.057512,1.915934
91864.968819,0.020546,-0.444801,0.043141,1.955034
91864.978797,0.039706,-0.449591,0.033561,1.955034
91864.988877,0.049286,-0.435221,0.057512,1.935484
91864.999171,0.049286,-0.449591,0.062302,1.935484
91865.009037,0.030126,-0.435221,0.057512,1.935484
91865.019256,0.030126,-0.444801,0.038351,1.935484
91865.029420,0.054076,-0.454381,0.038351,1.955034
91865.039340,0.044496,-0.440011,0.047931,1.955034
91865.049425,0.058866,-0.440011,0.062302,1.955034
91865.059581,0.039706,-0.430431,0.067092,1.935484
91865.069707,0.030126,-0.463961,0.047931,1.935484
91865.079706,0.034916,-0.473541,0.033561,1.955034
91865.089749,0.054076,-0.435221,0.047931,1.974585
91865.099853,0.054076,-0.430431,0.062302,1.974585
91865.109946,0.020546,-0.411271,0.062302,1.974585
91865.120405,0.063656,-0.463961,0.038351,1.955034
91865.130555,0.049286,-0.449591,0.043141,1.955034
91865.140434,0.054076,-0.449591,0.062302,1.955034
91865.150429,0.049286,-0.440011,0.057512,1.974585
91865.160526,0.025336,-0.444801,0.038351,1.974585
91865.170679,0.039706,-0.454381,0.033561,1.974585
91865.180901,0.054076,-0.463961,0.038351,1.974585
91865.190737,0.049286,-0.435221,0.057512,1.974585
91865.201246,0.025336,-0.392110,0.062302,1.974585
91865.210876,0.054076,-0.416061,0.033561,1.974585
91865.221126,0.073236,-0.425641,0.038351,1.955034
91865.231196,0.054076,-0.459171,0.057512,1.955034
91865.241273,0.025336,-0.430431,0.067092,1.974585
91865.251408,0.025336,-0.449591,0.033561,1.974585
91865.261504,0.044496,-0.454381,0.023981,1.994135
91865.271696,0.054076,-0.468751,0.047931,1.994135
91865.281607,0.039706,-0.444801,0.062302,1.994135
91865.291704,0.025336,-0.406481,0.052722,2.013685
91865.301846,0.049286,-0.444801,0.038351,1.994135
91865.312093,0.068446,-0.444801,0.038351,1.994135
91865.322089,0.068446,-0.449591,0.062302,1.994135
91865.332168,0.025336,-0.387320,0.076672,1.994135
91865.342357,0.034916,-0.416061,0.033561,1.994135
91865.352298,0.073236,-0.430431,0.033561,1.994135
91865.362302,0.063656,-0.459171,0.052722,1.994135
91865.372502,0.020546,-0.416061,0.071882,1.994135
91865.382509,0.030126,-0.430431,0.033561,1.994135
91865.392605,0.054076,-0.435221,0.023981,1.994135
91865.402695,0.068446,-0.483121,0.047931,1.994135
91865.412801,0.030126,-0.416061,0.062302,1.994135
91865.422880,0.020546,-0.444801,0.043141,1.994135
91865.432998,0.049286,-0.459171,0.028771,1.994135
91865.443097,0.073236,-0.487911,0.038351,1.994135
91865.453211,0.025336,-0.425641,0.071882,1.994135
91865.463368,0.006176,-0.444801,0.062302,1.994135
91865.473342,0.054076,-0.468751,0.019191,1.994135
91865.483480,0.063656,-0.497491,0.033561,2.013685
91865.493556,0.025336,-0.440011,0.076672,1.994135
91865.503625,0.015756,-0.440011,0.057512,2.013685
91865.513763,0.039706,-0.463961,0.023981,2.013685
91865.523942,0.073236,-0.492701,0.038351,2.013685
91865.534052,0.034916,-0.444801,0.076672,2.013685
91865.544032,-0.003404,-0.435221,0.052722,2.013685
91865.554211,0.039706,-0.468751,0.019191,2.013685
91865.564334,0.082816,-0.487911,0.043141,2.013685
91865.574482,0.020546,-0.425641,0.076672,2.033236
91865.584576,0.001386,-0.440011,0.052722,2.033236
91865.594746,0.058866,-0.449591,0.023981,2.033236
91865.604801,0.097187,-0.502281,0.043141,2.033236
91865.614764,0.010966,-0.396900,0.081462,2.033236
91865.625010,0.015756,-0.382530,0.033561,2.033236
91865.635150,0.092397,-0.449591,0.019191,2.033236
91865.645205,0.092397,-0.473541,0.047931,2.033236
91865.655403,0.001386,-0.358580,0.081462,2.033236
91865.665338,0.039706,-0.440011,0.033561,2.013685
91865.675797,0.087607,-0.502281,0.043141,2.013685
91865.685584,0.020546,-0.392110,0.091042,2.033236
91865.695632,0.015756,-0.392110,0.033561,2.033236
91865.705913,0.073236,-0.459171,0.019191,2.033236
91865.716403,0.111557,-0.487911,0.052722,2.052786
91865.725912,-0.008194,-0.349000,0.081462,2.052786
91865.735898,0.020546,-0.420851,0.028771,2.033236
91865.746029,0.087607,-0.502281,0.019191,2.033236
91865.756245,0.049286,-0.435221,0.076672,2.033236
91865.766332,-0.022564,-0.406481,0.067092,2.033236
91865.776391,0.063656,-0.459171,0.000031,2.033236
91865.786892,0.116347,-0.521441,0.043141,2.052786
91865.796614,0.015756,-0.358580,0.091042,2.033236
91865.806774,0.020546,-0.396900,0.023981,2.052786
91865.816989,0.087607,-0.483121,0.023981,2.052786
91865.826787,0.082816,-0.459171,0.062302,2.033236
91865.837042,-0.036934,-0.368160,0.076672,2.033236
91865.847021,0.049286,-0.459171,0.000031,2.033236
91865.857314,0.125927,-0.545392,0.038351,2.052786
91865.867383,0.015756,-0.358580,0.086252,2.052786
91865.877383,0.015756,-0.392110,0.023981,2.052786
91865.887517,0.097187,-0.473541,0.023981,2.013685
91865.897531,0.092397,-0.435221,0.062302,2.033236
91865.907639,-0.051305,-0.358580,0.086252,2.033236
91865.917794,0.049286,-0.487911,0.014401,2.033236
91865.927913,0.130717,-0.511861,0.038351,2.052786
91865.937939,-0.003404,-0.368160,0.086252,2.033236
91865.948132,0.001386,-0.392110,0.023981,2.013685
91865.958137,0.106767,-0.545392,0.019191,2.013685
91865.968217,0.049286,-0.463961,0.076672,2.033236
91865.978465,-0.032144,-0.382530,0.071882,2.033236
91865.988493,0.111557,-0.473541,0.009611,2.013685
91865.998524,0.106767,-0.449591,0.052722,1.994135
91866.008641,-0.036934,-0.353790,0.086252,2.013685
91866.018732,0.030126,-0.483121,0.009611,2.013685
91866.028856,0.130717,-0.507071,0.043141,2.013685
91866.039002,0.015756,-0.372950,0.091042,2.013685
91866.049144,-0.017774,-0.420851,0.028771,2.013685
91866.059179,0.116347,-0.526232,0.009611,1.994135
91866.069338,0.049286,-0.463961,0.076672,2.013685
91866.079460,-0.022564,-0.358580,0.076672,2.013685
91866.089360,0.106767,-0.473541,0.004821,1.974585
91866.099630,0.111557,-0.468751,0.047931,1.994135
91866.109675,-0.046515,-0.339420,0.091042,2.013685
91866.119650,0.034916,-0.483121,0.004821,1.994135
91866.129906,0.130717,-0.526232,0.038351,1.994135
91866.139939,0.015756,-0.358580,0.086252,1.994135
91866.150065,-0.008194,-0.406481,0.023981,2.013685
91866.160187,0.097187,-0.531022,0.014401,1.994135
91866.170209,0.063656,-0.483121,0.071882,2.013685
91866.180830,-0.003404,-0.440011,0.014401,1.994135
91866.190519,0.111557,-0.535812,0.038351,1.974585
91866.200677,0.116347,-0.463961,0.052722,1.994135
91866.210698,-0.032144,-0.305890,0.038351,1.994135
91866.220968,0.101977,-0.492701,0.000031,1.994135
91866.230943,0.087607,-0.483121,0.067092,1.994135
91866.240809,-0.051305,-0.358580,0.091042,1.994135
91866.251019,0.073236,-0.487911,0.000031,1.974585
91866.261090,0.140297,-0.497491,0.052722,2.013685
91866.271384,0.001386,-0.339420,0.091042,1.994135
91866.281432,-0.012984,-0.420851,0.009611,1.974585
91866.291537,0.106767,-0.540602,0.028771,1.974585
91866.301362,0.073236,-0.430431,0.081462,1.994135
91866.311705,-0.041725,-0.329840,0.057512,2.013685
91866.321988,0.101977,-0.487911,0.000031,1.974585
91866.331860,0.097187,-0.487911,0.062302,1.974585
91866.342020,-0.051305,-0.353790,0.086252,1.994135
91866.352182,0.063656,-0.463961,0.004821,1.994135
91866.362131,0.145087,-0.492701,0.052722,1.994135
91866.372508,0.001386,-0.334630,0.086252,1.974585
91866.382353,-0.027354,-0.435221,0.023981,1.974585
91866.392466,0.121137,-0.540602,0.033561,1.994135
91866.402642,0.073236,-0.420851,0.071882,1.994135
91866.412476,-0.051305,-0.315470,0.047931,1.994135
91866.422552,0.097187,-0.487911,0.000031,1.994135
91866.432657,0.097187,-0.497491,0.062302,1.974585
91866.442763,-0.065675,-0.368160,0.091042,1.994135
91866.452890,0.078026,-0.473541,-0.004759,1.994135
91866.463115,0.140297,-0.492701,0.047931,1.994135
91866.473105,-0.008194,-0.334630,0.086252,1.974585
91866.483203,-0.003404,-0.430431,0.019191,1.974585
91866.493491,0.116347,-0.535812,0.038351,1.994135
91866.503741,0.073236,-0.416061,0.076672,1.994135
91866.513551,-0.041725,-0.334630,0.043141,1.974585
91866.523633,0.101977,-0.468751,0.000031,1.974585
91866.533905,0.097187,-0.478331,0.057512,1.994135
91866.543937,-0.051305,-0.334630,0.086252,2.013685
91866.553842,0.049286,-0.463961,0.019191,1.974585
91866.564048,0.145087,-0.507071,0.038351,1.974585
91866.574415,0.006176,-0.353790,0.081462,1.974585
91866.584331,-0.022564,-0.440011,0.033561,1.974585
91866.594366,0.111557,-0.535812,0.023981,1.994135
91866.604535,0.078026,-0.435221,0.071882,1.994135
91866.614655,-0.046515,-0.344210,0.062302,1.994135
91866.624909,0.101977,-0.463961,0.000031,1.974585
91866.634871,0.101977,-0.497491,0.057512,1.994135
91866.644849,-0.060885,-0.358580,0.086252,1.994135
91866.654858,0.063656,-0.449591,0.014401,1.974585
91866.664934,0.145087,-0.502281,0.038351,1.994135
91866.675202,-0.008194,-0.349000,0.086252,1.974585
91866.685397,-0.022564,-0.444801,0.028771,1.974585
91866.695372,0.125927,-0.535812,0.023981,1.994135
91866.705304,0.068446,-0.420851,0.071882,1.974585
91866.715946,0.025336,-0.463961,0.004821,1.994135
91866.725729,0.097187,-0.463961,-0.004759,1.994135
91866.735815,0.092397,-0.502281,0.052722,1.994135
91866.745940,-0.027354,-0.344210,0.033561,1.994135
91866.755874,0.097187,-0.531022,0.019191,1.974585
91866.766005,0.073236,-0.492701,0.067092,1.974585
91866.776060,-0.036934,-0.377740,0.086252,1.994135
91866.786419,0.097187,-0.487911,-0.004759,1.994135
91866.796246,0.116347,-0.473541,0.047931,1.994135
91866.806336,-0.036934,-0.344210,0.100622,1.974585
91866.816445,0.030126,-0.463961,0.004821,1.974585
91866.826855,0.130717,-0.531022,0.033561,1.994135
91866.836876,0.039706,-0.382530,0.076672,1.994135
91866.846993,-0.032144,-0.325050,0.028771,1.994135
91866.857104,0.092397,-0.516651,0.004821,1.974585
91866.867075,0.082816,-0.478331,0.067092,1.974585
91866.877049,-0.032144,-0.349000,0.095832,1.994135
91866.887239,0.092397,-0.468751,0.000031,1.994135
91866.897525,0.130717,-0.492701,0.047931,1.994135
91866.907525,-0.036934,-0.363370,0.095832,1.974585
91866.917526,0.020546,-0.425641,0.009611,1.994135
91866.927662,0.125927,-0.535812,0.038351,1.994135
91866.937671,0.034916,-0.382530,0.091042,1.994135
91866.947892,-0.036934,-0.344210,0.038351,1.974585
91866.957840,0.092397,-0.531022,0.000031,1.974585
91866.967959,0.078026,-0.483121,0.071882,1.994135
91866.978129,-0.022564,-0.363370,0.086252,1.994135
91866.988339,0.082816,-0.483121,0.000031,1.974585
91866.998330,0.125927,-0.492701,0.043141,1.974585
91867.008536,-0.022564,-0.349000,0.086252,1.994135
91867.018706,0.020546,-0.440011,0.014401,1.994135
91867.028545,0.130717,-0.535812,0.033561,1.994135
91867.038685,0.054076,-0.377740,0.081462,1.974585
91867.048824,-0.046515,-0.329840,0.038351,1.974585
91867.058985,0.078026,-0.507071,0.000031,1.994135
91867.069150,0.101977,-0.492701,0.062302,1.994135
91867.079022,-0.041725,-0.368160,0.091042,1.994135
91867.089121,0.073236,-0.468751,0.000031,1.974585
91867.099192,0.140297,-0.487911,0.038351,1.974585
91867.109304,-0.022564,-0.358580,0.095832,1.994135
91867.119373,0.001386,-0.416061,0.019191,1.994135
91867.129469,0.135507,-0.540602,0.023981,1.994135
91867.139623,0.054076,-0.387320,0.076672,1.974585
91867.149872,-0.051305,-0.334630,0.038351,1.974585
91867.159773,0.087607,-0.521441,0.004821,1.994135
91867.169967,0.101977,-0.473541,0.062302,1.994135
91867.180050,-0.036934,-0.344210,0.086252,1.974585
91867.190048,0.073236,-0.468751,0.000031,1.974585
91867.200282,0.145087,-0.497491,0.038351,1.974585
91867.210338,-0.036934,-0.372950,0.091042,1.994135
91867.220391,0.001386,-0.406481,0.023981,1.994135
91867.230651,0.135507,-0.535812,0.033561,1.974585
91867.240843,-0.046515,-0.368160,0.091042,1.974585
91867.250723,0.049286,-0.440011,0.014401,1.974585
91867.260852,0.149877,-0.526232,0.033561,1.994135
91867.270821,0.006176,-0.377740,0.086252,1.994135
91867.281007,-0.027354,-0.401691,0.033561,1.974585
91867.291034,0.116347,-0.540602,0.019191,1.974585
91867.301141,0.078026,-0.420851,0.071882,1.974585
91867.311216,-0.041725,-0.349000,0.076672,1.994135
91867.321334,0.068446,-0.468751,0.000031,1.994135
91867.331451,0.116347,-0.511861,0.047931,1.974585
91867.341570,-0.046515,-0.372950,0.086252,1.974585
91867.351746,0.044496,-0.435221,0.009611,1.994135
91867.361816,0.140297,-0.526232,0.038351,1.994135
91867.371891,0.015756,-0.387320,0.086252,1.974585
91867.382028,-0.027354,-0.406481,0.038351,1.974585
91867.392164,0.101977,-0.545392,0.019191,1.994135
91867.402101,0.101977,-0.444801,0.067092,1.974585
91867.412318,-0.046515,-0.368160,0.076672,1.994135
91867.422319,0.068446,-0.483121,0.004821,1.974585
91867.432497,0.111557,-0.507071,0.052722,1.974585
